critic_id,name
365,Jalique Gabay [weartesters.com]
366,Shie rater char
367,gusuga23
368,Metalfingers
369,Hoopsgeek
370,CaelanTay
371,Tecabmacedo
372,Spk
373,RENCE
374,Jojo2
375,Dabeast
376,Jahamez
377,Althfff
378,KingJ342
379,Jimmy1978
380,doubleo
381,ojaspujari
382,SnB PH
383,yanpaolo
384,colourway
385,beaugarcia
386,mack
387,Obsolete
388,Maxburgy5
389,Th.kon
390,MukbangTrane
391,Baxter
392,MOMA
393,Andrei_0_
394,Shoeware
395,Nikos
396,Zond3r
397,Phone Gor
398,cmk909
399,Bobpop
400,Brysen
401,BELo
402,UtkuCantürk07
403,Monkey D.Ruthvik
404,Hooper123
405,Xiarry
406,Baller38
407,Allen
408,GOATofHoopingShoes
409,Zub
410,Baller2000
411,Ishoops
412,tjeff148
413,Dyctics
414,kingnas
415,leonjkim22
416,Gorbukoki
417,Dnile89
418,DonZhang7
419,80srocked
420,BigWillyJoe
421,Voltic
422,Butterbiscuits
423,Kenobiclone
424,CJ.S
425,Kaydg4
426,Kezva
427,monkeyhans1929
428,BigMo33
429,Cashanova
430,MARTINI
431,bhmbl
432,Luca.se.28
433,belotobeluga
434,Ajordan
435,Sam1
436,Griddy
437,AMP
438,mdessner1
439,JJustin32
440,Spooderman
441,Gonta
442,maseemahoop
443,shaboom
444,Zlatko
445,icjdkfbdkd
446,Franco :)
447,BlitzBro
448,bencompany00
449,KuKuc_hooper
450,MiMa2006
451,Oceanheaven
452,mattwrld
453,Doctorschezwan
454,ThomasByrne
455,Themshoereviews
456,thee.kolby-wayne
457,elioth_a3h
458,King2Extra
459,Dev69
460,sussyamogus
461,somojomo
462,ty m
463,DFlash
464,Chik
465,Jeison1314
466,WhyAyTee
467,PJ C
468,grimacereviews
469,
470,Kd0GG
471,Walking Ship
472,asianspiderman
473,fafsas
474,shoereview
475,Drossi
476,5hiba
477,carballo
478,floydhernandez
479,emmet
480,BigFatDragon236
481,Hunter_3
482,Louis_vdl
483,CD
484,Jimm523
485,Bobejreiekt
486,KickGenius
487,Mcas_02
488,Ankle
489,lolyrka
490,xddon
491,afg6688
492,PhBask
493,Tornadoes
494,WaggaBasketball
495,mint
496,Shirakaba
497,John Huh
498,David
499,Scar
500,Shark IceT
501,Giddysoap64
502,Skilz
503,Z
504,Terrence J Burnell
505,Lpresto
506,STVN_84
507,RocketRon500
508,chrisg43
509,Stella
510,chronospere
511,gaza
512,DiogoPG11
513,dyoHart
514,vitmacedo22
515,Jack Kingitt
516,AnotherPair [Youtube]
517,6f1dunker
518,Danimal
519,Ébaudit ien
520,meloball
521,rtl
522,Schwollo
523,Jphnfe
524,Alex31basketball
525,M1N1M3PH
526,dohakien
527,Carlo2911
528,sweetex77
529,NiceLimpBoy
530,N$PAT-04
531,Willem dripfoe
532,Yayaoren
533,WillSumno
534,pug
535,Ak1603
536,AraEdem
537,CrispyClarkie
538,J-VIC6
539,wang vinh
540,Jasanjot2324
541,Apollo3
542,JMaster14
543,TopHat
544,NPK boy
545,theheebs
546,katana
547,hjl
548,MagicMeyer
549,Daniel087
550,BurlySteph
551,Fin
552,allenlee
553,K2talented
554,Xpazeice51
555,SalihUcz
556,GballerM
557,bilol
558,Doh
559,nmd16
560,Notfizz
561,Hooper25
562,Alawi
563,Aslan_PG11
564,Chritz
565,Hooper MT
566,HarrisonF
567,SOLEDOUTSHOES
568,xsunzet
569,water
570,AvrAdr
571,earausa
572,Moshe
573,Skibilibap boom
574,The peanut
575,NotMyRealAccount
576,Sensen
577,MING
578,tyzan
579,Bball&sneakerguy
580,Na'Sean
581,Ismail
582,maskoffchris
583,Spaklex
584,Gonzalo11
585,Curlzy
586,Mouss
587,Christos
588,Graneycr
589,hypological
590,qytquan147@gmail.com
591,ksixteenjune
592,JustSomeHooper
593,ezuberbier
594,Otaké
595,AyalaF21
596,celo
597,Dino
598,riley.lynch_
599,Ciaranduffy10
600,YaoMing
601,Kirk
602,anonimous
603,Andonis__13
604,JJ Million
605,quarsad
606,Johnmadaein123
607,THGuser2004
608,goat
609,H1s0d1N
610,Dwoods
611,F!vefingerdiscount
612,Drell Mendoza
613,Vld3
614,Trsuarez
615,Another Pair [weartesters.com]
616,Miracle Man
617,Isaiahj
618,Houswayprodd
619,Ericutz
620,Molor
621,Nabranes
622,Lucky26
623,Skyth
624,Honest Reviewer
625,timkey37
626,BBallForLife
627,Suuuuu
628,ryu
629,Luca Benedict
630,Emil
631,Aleksej77
632,Gugu23
633,Wilmerr26
634,tom_neve
635,Welsh
636,corbin
637,Pumpywang
638,Adifytu
639,Smalls
640,Nobott
641,Adam
642,SSF15
643,snellkiraro
644,pauladrian
645,Bradle
646,Yoon
647,ChrisBallerNVA
648,Wikox
649,Zac Dubasik [SoleCollector.com]
650,Ndonioballers
651,brady
652,5486
653,Grey
654,18Willis
655,TechnoPro
656,Toruk
657,Tasso
658,Iversonstarbarry315
659,fransezco
660,Dogan
661,2637
662,101892
663,SixtoFlash
664,Cake Kicks Contest
665,Joshuaa
666,StonkZ
667,jgalvanx
668,neilshahar
669,Kalamarios
670,ggriff17
671,BallerBill
672,Fernando
673,Miles Felletti
674,PeterSpear
675,thatboy
676,justinhoang
677,NamTuan
678,Ai_Lex
679,BAYSAKH
680,pshank287
681,TheNextGoat33
682,jfkicks
683,gamedetuts
684,Pauder
685,rohanm0610
686,aimaruchi
687,roja_.le
688,AirNijjar
689,Bektas_0505
690,Hoodie.ishaan
691,Matt
692,PhilLux
693,0078965
694,Eann
695,Lee
696,cartier
697,younggroupie
698,Nicsiam
699,haenwithdaballs
700,Machado
701,MR FOAMER SIMPSON
702,Dom.Eiro
703,UAPumaballer
704,z0and.d1
705,Outdorz
706,Gustavo
707,sevent1123
708,Jellyko
709,sopra
710,TheAbandon
711,Marcosdoncic
712,Gavin
713,adp210
714,onlyhoopers
715,ydarb
716,Livful
717,tdlens04
718,Matteo Peixonauta
719,JohnOre11
720,Grizzliesfan195
721,Jpls09
722,Stefan
723,Syracuse44
724,ilyabag
725,Mergen
726,Andy
727,Adams hooper
728,Felipe Basilio
729,Zima
730,DiegoXD0322m
731,JHK
732,Thetopgun4
733,JoeDimes
734,Kbbbboi
735,Guyfromaklan
736,kamikadzedead7
737,Norriz-33
738,youraveragehooper
739,Analykix.com
740,Lebron9927
741,OH03
742,lop123456789
743,WP6
744,CJS1258
745,Cornelius
746,e10
747,Kaden
748,kennylove
749,eazy
750,labornine_
751,NickyPoo62
752,Adamchanyl
753,Kloppi
754,Cayden_27
755,Jarron Ramos [weartesters.com]
756,Dav
757,Jacoby Jones
758,kingdimitri
759,55991
760,Tomaco
761,Del.Ryannn
762,Justin023
763,Vangelis711211
764,vdz
765,Karter
766,Gavi3765788
767,GEF
768,piercingkai
769,Addisonfiya
770,Rajon reed
771,hooperforlife191
772,QuickKicks [weartesters.com]
773,Cxlt°0n_._Ts._.
774,2003fernando
775,Jahlin
776,DQ2
